Id,Gross capital cents,Gross capital currency,Tax capital cents,Tax capital currency,Created at,Date,Net USD
727852,94,USD,14,USD,04-02-26 2:56,30-01-26,"0,80"
697023,1,USD,0,USD,31-12-25 3:31,26-12-25,"0,01"
600958,20,USD,3,USD,05-11-25 4:14,31-10-25,"0,17"
494602,32,USD,4,USD,06-08-25 10:01,01-08-25,"0,28"
478198,6,USD,0,USD,14-07-25 10:00,09-07-25,"0,06"
471784,1,USD,0,USD,09-07-25 10:25,03-07-25,"0,01"
399048,40,USD,6,USD,07-05-25 10:00,02-05-25,"0,34"
386029,6,USD,0,USD,14-04-25 10:00,09-04-25,"0,06"
378686,1,USD,0,USD,07-04-25 10:25,02-04-25,"0,01"
316634,43,USD,6,USD,05-02-25 10:37,31-01-25,"0,37"
309330,6,USD,0,USD,14-01-25 10:03,08-01-25,"0,06"
275089,3,USD,0,USD,19-12-24 10:37,16-12-24,"0,03"
242145,39,USD,5,USD,06-11-24 10:03,01-11-24,"0,34"
223838,6,USD,0,USD,07-10-24 11:13,01-10-24,"0,06"
211051,1,USD,0,USD,01-10-24 11:06,26-09-24,"0,01"
205666,3,USD,0,USD,19-09-24 11:04,16-09-24,"0,03"
181137,39,USD,5,USD,07-08-24 10:00,02-08-24,"0,34"
151160,1,USD,0,USD,18-06-24 9:18,17-06-24,"0,01"
134440,3,USD,0,USD,16-05-24 20:11,16-05-24,"0,03"
123901,18,USD,2,USD,03-05-24 20:00,03-05-24,"0,16"
120127,11,USD,1,USD,30-04-24 20:01,30-04-24,"0,01"
